sample_code,LAT,LON,Site,site_name
F01,43.095927,-85.6770901,1,Vinton(Schwallier)
F02,43.0958259,-85.6770877,1,Vinton(Schwallier)
F03,43.0955571,-85.6770914,1,Vinton(Schwallier)
F04,43.0954753,-85.6770657,1,Vinton(Schwallier)
F05,43.0953895,-85.6770571,1,Vinton(Schwallier)
F06,43.1020943,-85.7289198,2,"SchweitzerBlock1,Zone15"
F07,43.1029242,-85.728835,2,"SchweitzerBlock1,Zone15"
F08,43.103401,-85.7286037,2,"SchweitzerBlock1,Zone15"
F09,43.1037141,-85.7104961,3,"SchweitzerBlock2,Zone3"
F10,43.1037124,-85.7103305,3,"SchweitzerBlock2,Zone3"
F11,43.1037237,-85.711774,3,"SchweitzerBlock2,Zone3"
F12,43.074743,-85.7228124,4,Thome
F13,43.0747243,-85.7223562,4,Thome
F14,43.059277,-85.7459715,5,Dunnabeck
F15,43.0592476,-85.7456495,5,Dunnabeck
F16,43.1175303,-85.7668458,6,KlenkWest
F17,43.117345,-85.7668333,6,KlenkWest
F18,43.1176466,-85.7608909,7,KlenkEast
F19,43.1176624,-85.7613532,7,KlenkEast
F20,43.1215528,-85.826545,8,DietrichWest
F21,43.121532,-85.826289,8,DietrichWest
F22,43.1215377,-85.8258677,9,DietrichEast
F23,43.1215402,-85.8256848,9,DietrichEast
F24,42.9322789,-85.7867136,10,Wells
F25,42.9322847,-85.7869145,10,Wells
F26,43.5559673,-85.9419273,11,FrensNorth
F27,43.5540817,-85.9418426,12,FrensSouth
F28,43.5482029,-85.9711419,13,RoosinckPatterson
F29,43.5482395,-85.9720495,13,RoosinckPatterson
F30,43.444984,-85.0121649,14,RoosinckReeman
F31,43.4449955,-85.0118292,14,RoosinckReeman
F32,43.2389937,-85.7416973,15,Rasch
F33,43.2390271,-85.7427386,15,Rasch
F34,43.2389548,-85.7427115,15,Rasch
F35,43.2389428,-85.7417313,15,Rasch
F36,43.013931,-85.3632852,16,RothNorth
F37,43.0124891,-85.362903,17,RothSouth
F38,43.1256465,-85.3635517,18,Kropf
F39,43.1256443,-85.3637806,18,Kropf
F40,43.1256423,-85.3640227,18,Kropf
F41,43.2331025,-85.7462672,19,RaschBigRock
F42,43.2331107,-85.746738,19,RaschBigRock
F43,43.2311517,-85.7497998,20,RaschSouthofHouse
F44,43.2311479,-85.7499293,20,RaschSouthofHouse
F45,43.2311093,-85.7500305,20,RaschSouthofHouse